YM_ID|POLICE_AREA|GRP_DETAIL_CD|DRIVE_OVER|VIOLATION|SPEEDING|PEDESTRIAN|SAFEDRIVING|SAFETY|CROSSING|ETC|ETL_TYPE|ETL_DATE
201206|P03|9401|3|9|1|5|57|8|3|6|0601|2013-12-23 16:58:12
201206|P03|9403|1|13|2|5|79|11|3|5|0601|2013-12-23 16:58:12
201206|P04|9402|0|1|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201206|P05|9401|6|12|0|1|36|1|7|1|0601|2013-12-23 16:58:12
201206|P05|9403|9|15|0|1|57|1|11|1|0601|2013-12-23 16:58:12
201206|P06|9402|0|1|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201207|P02|9401|4|12|0|1|65|12|4|3|0601|2013-12-23 16:58:12
201207|P02|9403|4|25|0|1|97|24|5|3|0601|2013-12-23 16:58:12
201207|P03|9402|0|1|0|0|3|0|0|0|0601|2013-12-23 16:58:12
201207|P04|9401|6|12|0|6|44|4|0|6|0601|2013-12-23 16:58:12
201207|P04|9403|20|25|0|6|57|8|0|7|0601|2013-12-23 16:58:12
201207|P05|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201207|P06|9401|8|22|1|3|72|8|8|5|0601|2013-12-23 16:58:12
201207|P06|9403|17|46|2|3|104|12|17|14|0601|2013-12-23 16:58:12
201208|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201208|P03|9401|4|12|0|2|56|6|9|12|0601|2013-12-23 16:58:12
201208|P03|9403|6|21|0|2|85|7|11|11|0601|2013-12-23 16:58:12
201208|P04|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201208|P05|9401|4|7|0|2|40|1|4|3|0601|2013-12-23 16:58:12
201208|P05|9403|5|9|0|2|66|3|5|3|0601|2013-12-23 16:58:12
201208|P06|9402|0|1|1|0|2|0|0|0|0601|2013-12-23 16:58:12
201209|P02|9401|8|16|0|1|52|8|3|4|0601|2013-12-23 16:58:12
201209|P02|9403|15|24|0|1|72|8|5|4|0601|2013-12-23 16:58:12
201209|P03|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201209|P04|9401|3|15|0|3|35|7|4|3|0601|2013-12-23 16:58:12
201209|P04|9403|4|22|0|3|56|11|7|4|0601|2013-12-23 16:58:12
201209|P05|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201209|P06|9401|14|32|0|7|107|23|9|4|0601|2013-12-23 16:58:12
201209|P06|9403|22|55|0|7|168|54|22|8|0601|2013-12-23 16:58:12
201210|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201210|P03|9401|2|15|0|5|56|6|4|8|0601|2013-12-23 16:58:12
201210|P03|9403|2|21|0|6|72|14|7|12|0601|2013-12-23 16:58:12
201210|P04|9402|0|0|0|0|4|0|0|0|0601|2013-12-23 16:58:12
201210|P05|9401|0|7|1|3|31|4|4|3|0601|2013-12-23 16:58:12
201210|P05|9403|0|13|1|3|46|7|10|5|0601|2013-12-23 16:58:12
201210|P06|9402|0|0|0|1|5|1|0|0|0601|2013-12-23 16:58:12
201211|P02|9401|3|14|0|6|48|11|6|7|0601|2013-12-23 16:58:12
201211|P02|9403|3|25|0|7|59|14|10|9|0601|2013-12-23 16:58:12
201211|P03|9402|0|1|0|0|3|0|0|0|0601|2013-12-23 16:58:12
201211|P04|9401|6|11|0|4|64|7|3|1|0601|2013-12-23 16:58:12
201211|P04|9403|10|13|0|5|70|10|3|1|0601|2013-12-23 16:58:12
201211|P05|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201211|P06|9401|10|42|1|2|79|12|10|5|0601|2013-12-23 16:58:12
201211|P06|9403|21|80|1|2|113|20|18|6|0601|2013-12-23 16:58:12
201212|P02|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201212|P03|9401|4|9|0|2|49|5|2|2|0601|2013-12-23 16:58:12
201212|P03|9403|11|15|0|3|85|9|2|2|0601|2013-12-23 16:58:12
201212|P04|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
