전북,진안군,2,4,3,2,2,3,3,3,1
전북,무주군,2,3,3,2,2,2,2,2,1
전북,장수군,4,2,3,1,5,3,4,1,4
전북,임실군,3,4,2,3,4,4,3,4,4
전북,순창군,2,3,5,2,4,3,3,4,3
전북,고창군,4,3,4,4,4,4,3,2,3
전북,부안군,5,3,4,4,4,3,5,3,3
전남,담양군,5,3,3,3,3,3,5,4,3
전남,곡성군,3,3,4,2,3,3,3,5,5
전남,구례군,3,3,4,2,2,2,3,3,5
전남,고흥군,4,3,4,3,4,4,5,4,4
전남,보성군,3,4,4,5,4,5,3,2,4
전남,화순군,3,3,3,3,4,3,3,2,3
전남,장흥군,4,2,5,3,3,4,3,4,5
전남,강진군,3,4,3,2,3,4,2,2,3
전남,해남군,3,3,4,4,2,3,5,3,4
전남,영암군,2,3,2,3,3,3,4,3,4
전남,무안군,2,1,3,3,2,4,3,4,2
전남,함평군,3,3,4,3,4,3,4,5,4
전남,영광군,3,2,2,3,5,2,3,1,1
전남,장성군,5,2,2,2,4,3,2,3,3
전남,완도군,3,4,1,3,2,5,2,4,4
전남,진도군,4,3,3,4,2,4,4,5,3
전남,신안군,4,4,2,4,2,4,4,4,4
경북,군위군,3,3,3,2,2,5,3,3,5
경북,의성군,5,3,3,2,5,2,4,4,3
경북,청송군,3,3,3,4,4,2,2,2,4
경북,영양군,2,2,2,5,1,2,2,5,3
경북,영덕군,3,4,3,2,2,4,2,3,2
경북,청도군,2,4,2,4,2,2,4,4,2
경북,고령군,3,3,2,4,5,4,3,4,2
경북,성주군,3,4,3,5,3,3,4,3,3
경북,칠곡군,2,1,2,1,1,1,2,2,1
경북,예천군,3,5,3,4,2,3,3,3,4
경북,봉화군,3,3,4,2,4,3,2,3,5
경북,울진군,2,2,2,3,2,2,4,2,4
경북,울릉군,1,1,1,1,1,2,1,3,3
경남,의령군,5,5,4,5,3,3,4,4,3
경남,함안군,4,2,4,3,3,3,2,3,3
경남,창녕군,4,2,3,3,3,3,2,4,3
경남,고성군,3,3,4,3,5,4,4,3,3
경남,남해군,5,4,4,3,3,4,3,4,3
경남,하동군,3,5,3,3,3,5,4,3,4
경남,산청군,4,5,5,5,4,4,4,3,4
경남,함양군,4,4,5,3,3,3,4,3,2
경남,거창군,2,3,3,4,3,2,2,1,3
경남,합천군,3,4,4,4,3,5,4,5,4
서울,종로구,5,5,5,5,5,5,5,5,5
서울,중구,5,5,5,5,4,5,3,3,5
서울,용산구,3,4,4,2,2,2,2,2,4
서울,성동구,2,2,2,3,1,2,2,2,4
서울,광진구,2,2,1,2,1,1,2,2,3
서울,동대문구,4,3,4,2,2,4,4,4,4
서울,중랑구,2,1,1,3,2,1,2,3,3
서울,성북구,3,3,2,2,1,1,1,4,3
서울,강북구,3,3,4,2,4,2,2,5,4
서울,도봉구,2,4,4,4,2,3,1,4,4
서울,노원구,2,1,2,3,2,1,1,2,3
서울,은평구,3,2,3,1,3,2,2,4,3
서울,서대문구,3,3,2,2,4,2,3,3,4
서울,마포구,4,3,3,3,3,1,3,3,4
서울,양천구,2,1,1,1,1,2,1,2,3
서울,강서구,2,3,3,4,2,2,3,4,4
서울,구로구,1,2,3,2,2,1,2,3,3
서울,금천구,3,2,2,4,2,2,4,4,4
서울,영등포구,4,4,3,2,3,1,3,4,5
서울,동작구,1,2,1,3,3,2,1,4,3
서울,관악구,2,4,2,3,2,3,2,3,4
서울,서초구,3,4,4,3,1,3,2,3,3
서울,강남구,3,4,4,2,2,2,3,4,4
서울,송파구,2,2,2,1,1,2,2,2,3
서울,강동구,2,1,2,1,3,2,2,3,3
부산,중구,5,5,5,5,4,3,3,5,2
부산,서구,4,3,4,1,4,4,5,4,5
부산,동구,4,4,5,3,3,5,5,5,4
부산,영도구,3,5,3,4,3,4,2,5,3
부산,부산진구,4,4,4,4,3,4,4,3,3
부산,동래구,3,2,4,3,4,3,3,3,3
부산,남구,3,3,3,4,2,4,4,3,2
부산,북구,1,1,2,4,3,3,3,3,3
부산,해운대구,4,3,3,4,3,3,1,3,5
부산,사하구,3,3,3,4,3,4,5,5,4
부산,금정구,2,3,3,4,4,3,3,4,2
부산,강서구,5,5,4,5,5,4,5,4,2
부산,연제구,4,4,3,4,4,2,4,3,4
부산,수영구,3,4,4,4,2,3,2,5,4
부산,사상구,3,2,3,4,4,3,3,4,5
대구,중구,5,4,5,2,3,5,3,4,5
대구,동구,4,4,3,4,5,4,4,3,3
대구,서구,4,3,4,3,5,4,3,3,3
대구,남구,4,3,4,4,4,4,3,4,3
대구,북구,4,4,4,2,2,3,2,2,2
대구,수성구,3,3,3,3,4,3,2,2,4
대구,달서구,2,2,2,3,3,3,4,1,2
인천,중구,5,5,5,4,5,3,3,3,1
인천,동구,5,3,5,3,2,5,3,4,2
인천,남구,3,3,3,3,2,2,4,1,1
인천,연수구,1,2,1,3,2,3,2,1,1
인천,남동구,2,2,3,1,5,3,4,1,2
인천,부평구,1,1,2,2,3,3,3,1,2
인천,계양구,1,4,1,1,1,4,3,2,2
인천,서구,3,2,1,2,3,3,4,3,2
광주,동구,4,5,4,3,4,5,4,3,2
광주,서구,2,3,2,2,4,2,1,1,1
광주,남구,3,2,3,2,4,3,4,2,1
광주,북구,2,3,4,5,4,4,4,2,2
광주,광산구,4,2,2,3,2,4,3,1,2
대전,동구,4,3,4,4,4,4,4,3,3
대전,중구,3,4,3,5,5,5,3,3,3
대전,서구,3,2,3,3,3,2,4,2,2
대전,유성구,2,3,3,3,3,4,2,2,3
대전,대덕구,4,4,2,5,5,4,4,4,4
울산,중구,3,2,2,3,3,4,4,2,2
울산,남구,2,3,3,3,3,2,5,2,1
울산,동구,4,4,2,2,3,3,5,2,2
울산,북구,1,1,2,2,3,3,3,2,1
