sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG
11000,11100,1110063,weekday,15.71
11000,11100,1110064,weekday,15.57
11000,11100,1110065,weekday,16.25
11000,11110,1111051,weekday,17.44
11000,11110,1111052,weekday,19.47
11000,11110,1111053,weekday,21.09
11000,11110,1111056,weekday,17.15
11000,11110,1111058,weekday,15.97
11000,11110,1111059,weekday,22.75
11000,11110,1111060,weekday,14.95
11000,11110,1111061,weekday,15.26
11000,11110,1111064,weekday,16.12
11000,11110,1111065,weekday,22.81
11000,11110,1111066,weekday,14.85
11000,11110,1111069,weekday,15.72
11000,11110,1111072,weekday,34.52
11000,11110,1111073,weekday,18.28
11000,11110,1111074,weekday,19.91
11000,11110,1111076,weekday,21.83
11000,11110,1111077,weekday,19.79
11000,11110,1111078,weekday,16.75
11000,11110,1111079,weekday,19.24
11000,11120,1112051,weekday,15.21
11000,11120,1112052,weekday,14.1
11000,11120,1112055,weekday,16.06
11000,11120,1112056,weekday,14.68
11000,11120,1112057,weekday,14.89
11000,11120,1112058,weekday,14.31
11000,11120,1112059,weekday,15.96
11000,11120,1112060,weekday,15.39
11000,11120,1112065,weekday,17.19
11000,11120,1112066,weekday,15.02
11000,11120,1112067,weekday,21.85
11000,11120,1112068,weekday,15.15
11000,11120,1112071,weekday,19.76
11000,11120,1112072,weekday,15.83
11000,11120,1112073,weekday,15.3
11000,11120,1112074,weekday,17.36
11000,11130,1113052,weekday,18.5
11000,11130,1113062,weekday,19.13
11000,11130,1113064,weekday,22.73
11000,11130,1113065,weekday,14.5
11000,11130,1113066,weekday,15.25
11000,11130,1113068,weekday,19.82
11000,11130,1113069,weekday,15.36
11000,11130,1113070,weekday,16
11000,11130,1113071,weekday,16.62
11000,11130,1113072,weekday,14.67
11000,11130,1113073,weekday,18.68
11000,11130,1113074,weekday,17.98
11000,11130,1113075,weekday,17.52
11000,11130,1113076,weekday,18.81
11000,11140,1114059,weekday,23.33
11000,11140,1114060,weekday,14.82
11000,11140,1114061,weekday,17.14
11000,11140,1114063,weekday,16.31
11000,11140,1114066,weekday,15.28
11000,11140,1114068,weekday,32.04
11000,11140,1114069,weekday,21.58
11000,11140,1114070,weekday,33.16
11000,11140,1114071,weekday,15.02
11000,11140,1114072,weekday,18.14
11000,11140,1114073,weekday,19.37
11000,11140,1114074,weekday,21.58
11000,11140,1114075,weekday,17.41
11000,11140,1114076,weekday,17.14
11000,11140,1114077,weekday,15.59
11000,11140,1114078,weekday,18.27
11000,11150,1115051,weekday,15.35
11000,11150,1115052,weekday,17.78
11000,11150,1115053,weekday,16.47
11000,11150,1115054,weekday,14.85
11000,11150,1115057,weekday,16.06
11000,11150,1115058,weekday,15.65
11000,11150,1115059,weekday,13.32
11000,11150,1115060,weekday,18.1
11000,11150,1115061,weekday,15.2
11000,11150,1115062,weekday,15.28
11000,11150,1115063,weekday,19.85
11000,11150,1115064,weekday,15.89
11000,11150,1115065,weekday,15.01
11000,11150,1115066,weekday,15.81
11000,11150,1115069,weekday,15.39
11000,11150,1115070,weekday,17.23
11000,11150,1115071,weekday,16.75
11000,11150,1115072,weekday,15.07
11000,11160,1116051,weekday,20.45
11000,11160,1116052,weekday,17.12
11000,11160,1116053,weekday,10.23
11000,11160,1116054,weekday,16.32
11000,11160,1116055,weekday,13.59
11000,11160,1116057,weekday,17.98
11000,11160,1116058,weekday,13.23
11000,11160,1116059,weekday,19.46
11000,11160,1116061,weekday,16.14
11000,11160,1116063,weekday,15.54
11000,11160,1116064,weekday,18.19
11000,11160,1116065,weekday,24.45
11000,11160,1116066,weekday,14.53
11000,11160,1116067,weekday,16.7
11000,11160,1116069,weekday,20.45
11000,11160,1116070,weekday,15.68
11000,11160,1116071,weekday,30.97
11000,11160,1116072,weekday,22.96
11000,11160,1116073,weekday,14.84
11000,11160,1116074,weekday,16.34
11000,11170,1117051,weekday,19.63
11000,11170,1117052,weekday,18.25
11000,11170,1117054,weekday,15.24
11000,11170,1117055,weekday,13.58
11000,11170,1117056,weekday,15.81
11000,11170,1117061,weekday,16.52
11000,11170,1117062,weekday,16.95
11000,11170,1117064,weekday,14.68
11000,11170,1117065,weekday,15.69
11000,11170,1117067,weekday,20.39
11000,11170,1117069,weekday,16.81
11000,11170,1117070,weekday,15.08
11000,11170,1117071,weekday,17.75
11000,11170,1117072,weekday,16.96
11000,11170,1117073,weekday,16.12
11000,11170,1117074,weekday,16.57
11000,11180,1118051,weekday,18.46
11000,11180,1118052,weekday,17.66
11000,11180,1118053,weekday,15.17
11000,11180,1118054,weekday,15.41
11000,11180,1118055,weekday,15.15
11000,11180,1118057,weekday,16.11
11000,11180,1118058,weekday,18.27
11000,11180,1118059,weekday,30.17
11000,11180,1118060,weekday,16.38
11000,11180,1118061,weekday,16.13
11000,11190,1119054,weekday,18.01
11000,11190,1119055,weekday,14.7
11000,11190,1119056,weekday,19.59
11000,11190,1119061,weekday,16.84
11000,11190,1119062,weekday,25.8
